Date,Region,Category,Sales($),ProductID
01/09/2023,East,Electronics,1200.5,E1234
02/09/2023,West,Apparel,350.75,A4567
03/09/2023,North,Furniture,890.2,F7890
04/09/2023,South,Electronics,550.4,E2345
05/09/2023,East,Appliances,420.6,A6789
06/09/2023,West,Apparel,300.25,A1234
07/09/2023,North,Furniture,980.9,F5678
08/09/2023,South,Electronics,750.3,E3456
09/09/2023,East,Appliances,380.5,A8901
10/09/2023,West,Apparel,410.75,A2345
11/09/2023,North,Furniture,1100.2,F1234
12/09/2023,South,Electronics,650.4,E6789
13/09/2023,East,Appliances,320.6,A3456
14/09/2023,West,Apparel,280.25,A7890
15/09/2023,North,Furniture,900.9,F2345
16/09/2023,South,Electronics,720.3,E1235
17/09/2023,East,Appliances,370.5,A2346
18/09/2023,West,Apparel,420.75,A3457
19/09/2023,North,Furniture,850.2,F6781
20/09/2023,South,Electronics,600.4,E5672
21/09/2023,East,Appliances,440.6,A4563
22/09/2023,West,Apparel,330.25,A7892
23/09/2023,North,Furniture,920.9,F1236
24/09/2023,South,Electronics,680.3,E8903
25/09/2023,East,Appliances,390.5,A2349
26/09/2023,West,Apparel,380.75,A5678
27/09/2023,North,Furniture,870.2,F3457
28/09/2023,South,Electronics,730.4,E4568
29/09/2023,East,Appliances,410.6,A6789
30/09/2023,West,Apparel,320.25,A7891
01/10/2023,North,Furniture,950.9,F4567
02/10/2023,South,Electronics,680.3,E2345
03/10/2023,East,Appliances,360.5,A1234
04/10/2023,West,Apparel,400.75,A2345
05/10/2023,North,Furniture,800.2,F5678
06/10/2023,South,Electronics,620.4,E3456
07/10/2023,East,Appliances,400.6,A6789
08/10/2023,West,Apparel,330.25,A1234
09/10/2023,North,Furniture,970.9,F5678
10/10/2023,South,Electronics,720.3,E2345
11/10/2023,East,Appliances,350.5,A6789
12/10/2023,West,Apparel,430.75,A1234
13/10/2023,North,Furniture,890.2,F5678
14/10/2023,South,Electronics,670.4,E2345
15/10/2023,East,Appliances,420.6,A6789
16/10/2023,West,Apparel,320.25,A1234
17/10/2023,East,Appliances,370.5,A2346
18/10/2023,West,Apparel,420.75,A3457
19/10/2023,North,Furniture,850.2,F6781
20/10/2023,South,Electronics,600.4,E5672
21/10/2023,East,Appliances,440.6,A4563
22/10/2023,West,Apparel,330.25,A7892
23/10/2023,North,Furniture,920.9,F1236
24/10/2023,South,Electronics,680.3,E8903
25/10/2023,East,Appliances,390.5,A2349
26/10/2023,West,Apparel,380.75,A5678
27/10/2023,North,Furniture,870.2,F3457
28/10/2023,South,Electronics,730.4,E4568
29/10/2023,East,Appliances,410.6,A6789
30/10/2023,West,Apparel,320.25,A7891
31/10/2023,West,Apparel,320.25,A789
